id,energy,valence,danceability
56ag77KIUFvxJhA1gdObsq,0.471,0.286,0.526
3JjeC1epY5y2Jysxn5FVCB,0.4970000000000001,0.065,0.485
5vymVJ2WUlLnMeQqrgwQx8,0.333,0.074,0.435
5AqPW3fH2H4ORBYTVwfHep,0.41,0.37,0.474
0FTDvOs2mzgHAqL31PBXO5,0.97,0.146,0.5870000000000001
0Zl6KnmirT1PeGZvAZY9T1,0.382,0.0455,0.532
63JP68VirmCXtWRoMTX8Xi,0.652,0.0724,0.379
27O9FuS1UIm6ZyLplgLQAH,0.9,0.286,0.296
0NnFglDnuZH6qKuvhZpB0r,0.0384,0.0708,0.27
5TvkWUGywzfVF5HQ9uySVF,0.531,0.0935,0.434
7zHrHnVSQwI95FGHewXDl8,0.894,0.415,0.604
5yzzy7Hevww3RDntQM5mG1,0.95,0.477,0.701
2reL9PAUza4PUtbjqW1fRf,0.478,0.318,0.545
4SXU3lUZ1eb4JWWbkQw43Y,0.632,0.88,0.6859999999999999
7hQJA50XrCWABAu5v6QZ4i,0.865,0.601,0.563
0A4PZuepTcIQVvA5m7R0M1,0.784,0.918,0.602
1LomCMl5wD3MPVlC6smUHe,0.789,0.348,0.604
4YMLW13PuuO7o3jkIWlKAs,0.544,0.856,0.831
6Nm8h73ycDG2saCnZV8poF,0.963,0.609,0.591
0DRvClQbN9znQ295sx76VC,0.622,0.425,0.511
157kvk58Qr04AiuDv2aQWd,0.202,0.0773,0.616
0fJFBbpUxTwjhh1ScBQjeX,0.804,0.972,0.754
61mWefnWQOLf90gepjOCb3,0.982,0.194,0.354
0s8OsDxW96cl290PcsI2mX,0.919,0.848,0.524
2SbIONplUQ0BvXyRgGDgCz,0.319,0.273,0.605
6AlzF33SOFB8vfrmABo0jV,0.907,0.238,0.653
7uI4m3uAKy2WWH1mJZAYzO,0.142,0.121,0.339
2k9N4caeCIJLOWwWwssrEM,0.256,0.357,0.772
7INi4pMPG4IE0Smx5y4KVf,0.6990000000000001,0.935,0.7490000000000001
5zfsg3FNA03fCUZzW2a9Fr,0.0963,0.0395,0.158
2id8E4WvczfKHB4LHI7Np3,0.828,0.636,0.59
6KuzTwyczjBp1C4f60Y5ID,0.24,0.1639999999999999,0.5529999999999999
2viJufnGlsjR1X51CEHpeg,0.926,0.574,0.602
4UmpEQtTlhBOxDPePaK8qR,0.503,0.5579999999999999,0.6509999999999999
6CY6TBcuh13KEk34pMnZA8,0.0147,0.0667,0.211
3eqyYjMYUHGlmtCP4C4iSX,0.99,0.397,0.5720000000000001
7JrSIPcfkWhDzxWII8Jz7V,0.256,0.191,0.32
0T3UHut7JmCi5jcgYiMawm,0.4970000000000001,0.25,0.444
7lSHfDPdyGdRyG234h5ToK,0.38,0.0558,0.464
5jkUfQV3wlplyoz0PUja09,0.547,0.962,0.631
4xxyCh7xkK30LVBO81poif,0.908,0.759,0.879
0sSxUKtpE11r5VVx1DIMww,0.476,0.186,0.282
7lL2lMWNtzOcf5HnEudNgn,0.619,0.774,0.813
2MlnLVsrTJmHmdpzJQcQ6w,0.974,0.353,0.639
2G7cxwbFSMneFgTMdnvICw,0.967,0.537,0.368
1ZMiCix7XSAbfAJlEZWMCp,0.267,0.0592,0.5670000000000001
6Zr0mt1HdVUwTEdMwqPXsC,0.255,0.134,0.332
1FunUekKzZ9Mgt3BMYCrfF,0.201,0.196,0.537
2F6FfZ4w8z3eJpSxPotVO5,0.769,0.17,0.468
3iGMErA58MMTYT1mBkUkRf,0.7509999999999999,0.246,0.7
4uqNn56KFQ7NtJ35xWZKvf,0.831,0.828,0.491
26AYR77170U49cMcXB7aRV,0.962,0.622,0.411
3mMd2MGvEIDAfMfvcb9wsC,0.11,0.347,0.416
0IvaKmBYBLVcdP0Ft8Dwik,0.411,0.125,0.579
3OjwAIOhan5AIGS2p6fJrt,0.161,0.357,0.474
0BEkkhhqcCNx6VLMtshOiT,0.135,0.155,0.42
71Znjl8mUrHfSg38OQU8bb,0.713,0.816,0.5870000000000001
0x4CFzoSdqVq5qTGgwZFuX,0.185,0.159,0.5
16A82OAjqWawjDM8K5HCdm,0.0517,0.13,0.428
43p1IlKF0PBgwkqzS2EdCk,0.912,0.5329999999999999,0.609
7hJZMJqFRlypzSlxC7Kn8n,0.202,0.086,0.205
06G5MnuMA3cLbNwjFs8zIS,0.138,0.138,0.2
69VbrwGah98lR7iuXkrk7e,0.498,0.418,0.614
0TEW7oRDKD2mjJQH507ni4,0.664,0.075,0.532
3DZ7DFolE5U2xEGIzFjeGo,0.161,0.0503,0.273
7d44sL4znFm5HZ6ltUVqbI,0.109,0.405,0.475
2T2EemW8X3GlKvJe1gxpBC,0.397,0.195,0.517
6s2T9kuNYNZKsG5Fa1LiDN,0.922,0.246,0.481
0aaTrekfgJgLiH00lnPKm7,0.667,0.288,0.64
